empleado_id,zkteo_id
1,1
9,9
10,10
12,12
13,13
18,18
22,22
23,23
25,25
34,34
35,35
44,44
46,46
52,52
53,53
54,54
65,65
68,68
71,71
72,72
73,73
78,78
79,79
81,81
82,82
83,83
84,84
87,87
90,90
93,93
94,94
98,98
101,101
106,106
107,107
109,109
113,113
114,114
117,117
120,120
124,124
137,137
144,144
152,152
160,160
161,161
179,179
191,191
204,204
212,212
218,218
219,219
221,221
222,222
225,225
226,226
230,230
232,232
233,233
235,235
239,239
244,244
245,245
248,248
249,249
251,251
252,252
253,253
258,258
260,260
314,314
318,318
325,325
327,327
328,328
401,401
407,407
408,408
414,414
501,501
514,514
521,521
525,525
526,526
527,527
531,531
544,544
553,553
559,559
561,561
562,562
563,563
565,565
569,569
572,572
575,575
576,576
578,578
584,584
585,585
587,587
594,594
601,601
602,602
604,604
605,605
610,610
616,616
618,618
622,622
623,623
625,625
628,628
631,631
635,635
645,645
651,651
663,663
818,818
828,828
875,875
879,879
891,891
893,893
896,896
897,897
936,936
955,955
956,956
1003,1003
2500,2500
2501,2501
2502,2502
2503,2503
2505,2505
2506,2506
2512,2512
2521,2521
2620,2620
5000,5000
