DEBUG: valor='1', pos=0, total=4
DEBUG: valor='2024-11-06', pos=1, total=4
DEBUG: valor='07:30:00', pos=2, total=4
DEBUG: valor='0', pos=3, total=4
DEBUG: valor='2', pos=0, total=4
DEBUG: valor='2024-11-06', pos=1, total=4
DEBUG: valor='07:45:00', pos=2, total=4
DEBUG: valor='0', pos=3, total=4
DEBUG: valor='3', pos=0, total=4
DEBUG: valor='2024-11-06', pos=1, total=4
DEBUG: valor='08:00:00', pos=2, total=4
DEBUG: valor='0', pos=3, total=4
DEBUG: valor='4', pos=0, total=4
DEBUG: valor='2024-11-06', pos=1, total=4
DEBUG: valor='08:15:00', pos=2, total=4
DEBUG: valor='0', pos=3, total=4
DEBUG: valor='5', pos=0, total=4
DEBUG: valor='2024-11-06', pos=1, total=4
DEBUG: valor='08:30:00', pos=2, total=4
DEBUG: valor='0', pos=3, total=4
DEBUG: valor='15', pos=0, total=4
DEBUG: valor='2024-11-06', pos=1, total=4
DEBUG: valor='06:30:00', pos=2, total=4
DEBUG: valor='0', pos=3, total=4
DEBUG: valor='21', pos=0, total=4
DEBUG: valor='2024-11-06', pos=1, total=4
DEBUG: valor='06:45:00', pos=2, total=4
DEBUG: valor='0', pos=3, total=4
DEBUG: valor='26', pos=0, total=4
DEBUG: valor='2024-11-06', pos=1, total=4
DEBUG: valor='06:50:00', pos=2, total=4
DEBUG: valor='0', pos=3, total=4
DEBUG: valor='28', pos=0, total=4
DEBUG: valor='2024-11-06', pos=1, total=4
DEBUG: valor='06:25:00', pos=2, total=4
DEBUG: valor='0', pos=3, total=4
DEBUG: valor='31', pos=0, total=4
DEBUG: valor='2024-11-06', pos=1, total=4
DEBUG: valor='06:35:00', pos=2, total=4
DEBUG: valor='0', pos=3, total=4
DEBUG: valor='32', pos=0, total=4
DEBUG: valor='2024-11-06', pos=1, total=4
DEBUG: valor='06:40:00', pos=2, total=4
DEBUG: valor='0', pos=3, total=4
DEBUG: valor='36', pos=0, total=4
DEBUG: valor='2024-11-06', pos=1, total=4
DEBUG: valor='06:45:00', pos=2, total=4
DEBUG: valor='0', pos=3, total=4
DEBUG: valor='37', pos=0, total=4
DEBUG: valor='2024-11-06', pos=1, total=4
DEBUG: valor='06:50:00', pos=2, total=4
DEBUG: valor='0', pos=3, total=4
DEBUG: valor='39', pos=0, total=4
DEBUG: valor='2024-11-06', pos=1, total=4
DEBUG: valor='07:00:00', pos=2, total=4
DEBUG: valor='0', pos=3, total=4
DEBUG: valor='46', pos=0, total=4
DEBUG: valor='2024-11-06', pos=1, total=4
DEBUG: valor='07:15:00', pos=2, total=4
DEBUG: valor='0', pos=3, total=4
